ungodliness,impiety,unrighteousness,immorality,quality
non-discrimination,fairness,justice,natural virtue,cardinal virtue
sportsmanship,fairness,justice,natural virtue,cardinal virtue
scrupulousness,honesty,righteousness,morality,quality
venerability,honorableness,righteousness,morality,quality
incorruptness,honesty,righteousness,morality,quality
incorruptibility,honesty,righteousness,morality,quality
respectability,honorableness,righteousness,morality,quality
good faith,honesty,righteousness,morality,quality
truthfulness,honesty,righteousness,morality,quality
ignobleness,dishonorableness,unrighteousness,immorality,quality
unscrupulousness,dishonesty,unrighteousness,immorality,quality
sleaziness,dishonorableness,unrighteousness,immorality,quality
unrespectability,dishonorableness,unrighteousness,immorality,quality
deceptiveness,dishonesty,unrighteousness,immorality,quality
thievishness,dishonesty,unrighteousness,immorality,quality
untruthfulness,dishonesty,unrighteousness,immorality,quality
disingenuousness,dishonesty,unrighteousness,immorality,quality
gluttony,intemperance,unrestraint,indiscipline,trait
thriftlessness,improvidence,imprudence,incaution,carelessness
becomingness,decorum,propriety,demeanor,trait
modesty,decency,propriety,demeanor,trait
political incorrectness,incorrectness,impropriety,demeanor,trait
gaminess,indelicacy,impropriety,demeanor,trait
unseemliness,indecorum,impropriety,demeanor,trait
unbecomingness,indecorum,impropriety,demeanor,trait
immodesty,indecency,impropriety,demeanor,trait
obscenity,indecency,impropriety,demeanor,trait
cussedness,contrariness,unruliness,intractability,trait
sparkle,expression,countenance,appearance,quality
primary subtractive color for light,primary color for light,primary color,color,visual property
coal black,black,achromatic color,color,visual property
ash grey,gray,achromatic color,color,visual property
dapple-grey,gray,achromatic color,color,visual property
iron-grey,gray,achromatic color,color,visual property
tattletale grey,gray,achromatic color,color,visual property
sanguine,red,chromatic color,color,visual property
chrome red,red,chromatic color,color,visual property
Turkey red,red,chromatic color,color,visual property
crimson,red,chromatic color,color,visual property
dark red,red,chromatic color,color,visual property
purplish red,red,chromatic color,color,visual property
cerise,red,chromatic color,color,visual property
scarlet,red,chromatic color,color,visual property
canary yellow,yellow,chromatic color,color,visual property
amber,yellow,chromatic color,color,visual property
brownish yellow,yellow,chromatic color,color,visual property
old gold,yellow,chromatic color,color,visual property
orange yellow,yellow,chromatic color,color,visual property
pale yellow,yellow,chromatic color,color,visual property
greenish yellow,yellow,chromatic color,color,visual property
greenishness,green,chromatic color,color,visual property
sea green,green,chromatic color,color,visual property
sage green,green,chromatic color,color,visual property
bottle green,green,chromatic color,color,visual property
olive green,green,chromatic color,color,visual property
yellow green,green,chromatic color,color,visual property
bluish green,green,chromatic color,color,visual property
jade green,green,chromatic color,color,visual property
azure,blue,chromatic color,color,visual property
powder blue,blue,chromatic color,color,visual property
steel blue,blue,chromatic color,color,visual property
dark blue,blue,chromatic color,color,visual property
greenish blue,blue,chromatic color,color,visual property
purplish blue,blue,chromatic color,color,visual property
mauve,purple,chromatic color,color,visual property
reddish purple,purple,chromatic color,color,visual property
pinkness,pink,chromatic color,color,visual property
solferino,pink,chromatic color,color,visual property
yellowish pink,pink,chromatic color,color,visual property
coral,pink,chromatic color,color,visual property
Vandyke brown,brown,chromatic color,color,visual property
light brown,brown,chromatic color,color,visual property
reddish brown,brown,chromatic color,color,visual property
yellowish brown,brown,chromatic color,color,visual property
puce,brown,chromatic color,color,visual property
olive brown,brown,chromatic color,color,visual property
taupe,brown,chromatic color,color,visual property
chubbiness,plumpness,fleshiness,fatness,bodily property
buxomness,plumpness,fleshiness,fatness,bodily property
pliancy,bendability,flexibility,malleability,physical property
power of appointment,authority,control,power,quality
sea power,military capability,capability,ability,quality
recency,pastness,timing,temporal arrangement,temporal property
currentness,presentness,timing,temporal arrangement,temporal property
radio frequency,frequency,rate,magnitude relation,relation
infrared,frequency,rate,magnitude relation,relation
acceleration,change,happening,event,psychological feature
deceleration,change,happening,event,psychological feature
oblateness,roundedness,convexity,shape,spatial property
circle of curvature,circle,ellipse,conic section,plane figure
common good,good,advantage,asset,quality
auspiciousness,favorableness,advantage,asset,quality
advowson,right,abstraction,concept,idea
cabotage,right,abstraction,concept,idea
due,right,abstraction,concept,idea
human right,right,abstraction,concept,idea
legal right,right,abstraction,concept,idea
prerogative,right,abstraction,concept,idea
right of action,right,abstraction,concept,idea
right of search,right,abstraction,concept,idea
voting right,right,abstraction,concept,idea
water right,right,abstraction,concept,idea
duress,force,influence,power,quality
carte blanche,authority,control,power,quality
firepower,military capability,capability,ability,quality
child's body,juvenile body,human body,body,natural object
adult female body,adult body,human body,body,natural object
adult male body,adult body,human body,body,natural object
mandibular notch,incisure,notch,indentation,concave shape
skin graft,skin,body covering,covering,natural object
dewlap,skin,body covering,covering,natural object
endothelium,epithelium,animal tissue,tissue,body part
mesothelium,epithelium,animal tissue,tissue,body part
neuroepithelium,epithelium,animal tissue,tissue,body part
body hair,hair,body covering,covering,natural object
cowlick,hair,body covering,covering,natural object
hairdo,hair,body covering,covering,natural object
facial hair,hair,body covering,covering,natural object
pubic hair,hair,body covering,covering,natural object
areolar tissue,connective tissue,animal tissue,tissue,body part
flab,adipose tissue,animal tissue,tissue,body part
atheroma,adipose tissue,animal tissue,tissue,body part
cellulite,adipose tissue,animal tissue,tissue,body part
puppy fat,adipose tissue,animal tissue,tissue,body part
bone,connective tissue,animal tissue,tissue,body part
marrow,connective tissue,animal tissue,tissue,body part
elastic tissue,connective tissue,animal tissue,tissue,body part
endoneurium,connective tissue,animal tissue,tissue,body part
meniscus,cartilage,animal tissue,tissue,body part
fibrocartilage,cartilage,animal tissue,tissue,body part
hyaline cartilage,cartilage,animal tissue,tissue,body part
skeletal muscle,muscle,contractile organ,organ,body part
pronator,muscle,contractile organ,organ,body part
supinator,muscle,contractile organ,organ,body part
levator,muscle,contractile organ,organ,body part
antagonistic muscle,muscle,contractile organ,organ,body part
trabecula,fibrous tissue,animal tissue,tissue,body part
ligament,connective tissue,animal tissue,tissue,body part
perineurium,connective tissue,animal tissue,tissue,body part
perimysium,connective tissue,animal tissue,tissue,body part
tendon,connective tissue,animal tissue,tissue,body part
tastebud,chemoreceptor,sense organ,organ,body part
tonsil,lymphatic tissue,animal tissue,tissue,body part
naked eye,eye,sense organ,organ,body part
oculus dexter,eye,sense organ,organ,body part
oculus sinister,eye,sense organ,organ,body part
simple eye,eye,sense organ,organ,body part
compound eye,eye,sense organ,organ,body part
eyebrow,hair,body covering,covering,natural object
eyelash,hair,body covering,covering,natural object
ocular muscle,muscle,contractile organ,organ,body part
rectus,muscle,contractile organ,organ,body part
organ of Corti,organ of hearing,sense organ,organ,body part
oil gland,exocrine gland,gland,organ,body part
thyroid gland,endocrine gland,gland,organ,body part
parathyroid gland,endocrine gland,gland,organ,body part
sweat gland,exocrine gland,gland,organ,body part
adrenal gland,endocrine gland,gland,organ,body part
prostate gland,endocrine gland,gland,organ,body part
lacrimal gland,exocrine gland,gland,organ,body part
thymus gland,endocrine gland,gland,organ,body part
kidney,excretory organ,internal organ,organ,body part
spleen,lymphatic tissue,animal tissue,tissue,body part
inferior alveolar artery,alveolar artery,artery,blood vessel,vessel
superior alveolar artery,alveolar artery,artery,blood vessel,vessel
ascending aorta,aorta,artery,blood vessel,vessel
aortic arch,aorta,artery,blood vessel,vessel
descending aorta,aorta,artery,blood vessel,vessel
abdominal aorta,aorta,artery,blood vessel,vessel
thoracic aorta,aorta,artery,blood vessel,vessel
common carotid artery,carotid artery,artery,blood vessel,vessel
external carotid artery,carotid artery,artery,blood vessel,vessel
internal carotid artery,carotid artery,artery,blood vessel,vessel
carotid body,chemoreceptor,sense organ,organ,body part
inferior cerebellar artery,cerebellar artery,artery,blood vessel,vessel
superior cerebellar artery,cerebellar artery,artery,blood vessel,vessel
anterior cerebral artery,cerebral artery,artery,blood vessel,vessel
middle cerebral artery,cerebral artery,artery,blood vessel,vessel
posterior cerebral artery,cerebral artery,artery,blood vessel,vessel
circumflex artery of the thigh,circumflex artery,artery,blood vessel,vessel
circumflex humeral artery,circumflex artery,artery,blood vessel,vessel
circumflex iliac artery,circumflex artery,artery,blood vessel,vessel
circumflex scapular artery,circumflex artery,artery,blood vessel,vessel
atrial artery,coronary artery,artery,blood vessel,vessel
right coronary artery,coronary artery,artery,blood vessel,vessel
left coronary artery,coronary artery,artery,blood vessel,vessel
facial artery,maxillary artery,artery,blood vessel,vessel
right gastric artery,gastric artery,artery,blood vessel,vessel
left gastric artery,gastric artery,artery,blood vessel,vessel
short gastric artery,gastric artery,artery,blood vessel,vessel
common iliac artery,iliac artery,artery,blood vessel,vessel
external iliac artery,iliac artery,artery,blood vessel,vessel
internal iliac artery,iliac artery,artery,blood vessel,vessel
inferior labial artery,labial artery,artery,blood vessel,vessel
superior labial artery,labial artery,artery,blood vessel,vessel
internal maxillary artery,maxillary artery,artery,blood vessel,vessel
anterior meningeal artery,meningeal artery,artery,blood vessel,vessel
middle meningeal artery,meningeal artery,artery,blood vessel,vessel
posterior meningeal artery,meningeal artery,artery,blood vessel,vessel
inferior mesenteric artery,mesenteric artery,artery,blood vessel,vessel
superior mesenteric artery,mesenteric artery,artery,blood vessel,vessel
pulmonary trunk,pulmonary artery,artery,blood vessel,vessel
temporal artery,cerebral artery,artery,blood vessel,vessel
anterior cardinal vein,cardinal vein,vein,blood vessel,vessel
posterior cardinal vein,cardinal vein,vein,blood vessel,vessel
common cardinal vein,cardinal vein,vein,blood vessel,vessel
anterior cerebral vein,cerebral vein,vein,blood vessel,vessel
anterior facial vein,facial vein,vein,blood vessel,vessel
great cerebral vein,cerebral vein,vein,blood vessel,vessel
inferior cerebral vein,cerebral vein,vein,blood vessel,vessel
internal cerebral vein,cerebral vein,vein,blood vessel,vessel
middle cerebral vein,cerebral vein,vein,blood vessel,vessel
superior cerebral vein,cerebral vein,vein,blood vessel,vessel
circumflex iliac vein,circumflex vein,vein,blood vessel,vessel
circumflex femoral vein,circumflex vein,vein,blood vessel,vessel
inferior epigastric vein,epigastric vein,vein,blood vessel,vessel
superficial epigastric vein,epigastric vein,vein,blood vessel,vessel
superior epigastric veins,epigastric vein,vein,blood vessel,vessel
episcleral veins,venule,vein,blood vessel,vessel
hypogastric vein,iliac vein,vein,blood vessel,vessel
external iliac vein,iliac vein,vein,blood vessel,vessel
common iliac vein,iliac vein,vein,blood vessel,vessel
anterior jugular vein,jugular vein,vein,blood vessel,vessel
external jugular vein,jugular vein,vein,blood vessel,vessel
internal jugular vein,jugular vein,vein,blood vessel,vessel
left gastric vein,gastric vein,vein,blood vessel,vessel
inferior ophthalmic vein,ophthalmic vein,vein,blood vessel,vessel
superior ophthalmic vein,ophthalmic vein,vein,blood vessel,vessel
inferior pulmonary vein,pulmonary vein,vein,blood vessel,vessel
superior pulmonary vein,pulmonary vein,vein,blood vessel,vessel
pyloric vein,gastric vein,vein,blood vessel,vessel
retromandibular vein,facial vein,vein,blood vessel,vessel
long saphenous vein,saphenous vein,vein,blood vessel,vessel
short saphenous vein,saphenous vein,vein,blood vessel,vessel
stellate venule,venule,vein,blood vessel,vessel
deep temporal vein,temporal vein,vein,blood vessel,vessel
middle temporal vein,temporal vein,vein,blood vessel,vessel
superficial temporal vein,temporal vein,vein,blood vessel,vessel
superior thalamostriate vein,thalamostriate vein,vein,blood vessel,vessel
inferior thalamostriate vein,thalamostriate vein,vein,blood vessel,vessel
inferior thyroid vein,thyroid vein,vein,blood vessel,vessel
middle thyroid vein,thyroid vein,vein,blood vessel,vessel
superior thyroid vein,thyroid vein,vein,blood vessel,vessel
pancreas,exocrine gland,gland,organ,body part
lung,respiratory organ,internal organ,organ,body part
interstitial fluid,extracellular fluid,liquid body substance,body substance,substance
arterial blood,blood,liquid body substance,body substance,substance
blood group,blood,liquid body substance,body substance,substance
lifeblood,blood,liquid body substance,body substance,substance
bloodstream,blood,liquid body substance,body substance,substance
blood clot,blood,liquid body substance,body substance,substance
cord blood,blood,liquid body substance,body substance,substance
menorrhea,blood,liquid body substance,body substance,substance
venous blood,blood,liquid body substance,body substance,substance
whole blood,blood,liquid body substance,body substance,substance
plasma,extracellular fluid,liquid body substance,body substance,substance
antiserum,serum,liquid body substance,body substance,substance
histamine,amine,methane series,aliphatic compound,organic compound
venae dorsales penis superficiales,vein of penis,vein,blood vessel,vessel
venae dorsales penis profunda,vein of penis,vein,blood vessel,vessel
vena profunda penis,vein of penis,vein,blood vessel,vessel
inferior vena cava,vena cava,vein,blood vessel,vessel
superior vena cava,vena cava,vein,blood vessel,vessel
venae profundae clitoridis,clitoral vein,vein,blood vessel,vessel
vena dorsalis clitoridis profunda,clitoral vein,vein,blood vessel,vessel
venae dorsales clitoridis superficiales,clitoral vein,vein,blood vessel,vessel
venae interlobulares renis,venae renis,vein,blood vessel,vessel
venae labiales anteriores,labial vein,vein,blood vessel,vessel
venae labiales posteriores,labial vein,vein,blood vessel,vessel
submucosa,connective tissue,animal tissue,tissue,body part
lymph node,lymphatic tissue,animal tissue,tissue,body part
pronucleus,nucleus,organelle,organ,body part
dominant gene,gene,sequence,series,ordering
allele,gene,sequence,series,ordering
genetic marker,gene,sequence,series,ordering
homeotic gene,gene,sequence,series,ordering
lethal gene,gene,sequence,series,ordering
linkage group,gene,sequence,series,ordering
mutant gene,gene,sequence,series,ordering
nonallele,gene,sequence,series,ordering
operator gene,gene,sequence,series,ordering
oncogene,gene,sequence,series,ordering
polygene,gene,sequence,series,ordering
proto-oncogene,gene,sequence,series,ordering
recessive gene,gene,sequence,series,ordering
regulatory gene,gene,sequence,series,ordering
repressor gene,gene,sequence,series,ordering
structural gene,gene,sequence,series,ordering
transgene,gene,sequence,series,ordering
X-linked gene,gene,sequence,series,ordering
Y-linked gene,gene,sequence,series,ordering
chromatid,fibril,fiber,material,substance
sarcosome,mitochondrion,organelle,organ,body part
myelocyte,leukocyte,free phagocyte,phagocyte,somatic cell
myeloblast,leukocyte,free phagocyte,phagocyte,somatic cell
lymphocyte,leukocyte,free phagocyte,phagocyte,somatic cell
granulocyte,leukocyte,free phagocyte,phagocyte,somatic cell
monocyte,leukocyte,free phagocyte,phagocyte,somatic cell
basophil,leukocyte,free phagocyte,phagocyte,somatic cell
neutrophil,leukocyte,free phagocyte,phagocyte,somatic cell
eosinophil,leukocyte,free phagocyte,phagocyte,somatic cell
myofibril,fibril,fiber,material,substance
smooth muscle,muscle,contractile organ,organ,body part
neuroglia,interstitial tissue,animal tissue,tissue,body part
fiber bundle,nervous tissue,animal tissue,tissue,body part
neuropil,nervous tissue,animal tissue,tissue,body part
grey matter,nervous tissue,animal tissue,tissue,body part
white matter,nervous tissue,animal tissue,tissue,body part
pituitary,endocrine gland,gland,organ,body part
anterior pituitary,endocrine gland,gland,organ,body part
pars distilis,endocrine gland,gland,organ,body part
pars intermedia,endocrine gland,gland,organ,body part
posterior pituitary,endocrine gland,gland,organ,body part
pineal gland,endocrine gland,gland,organ,body part
islands of Langerhans,endocrine gland,gland,organ,body part
adrenal medulla,endocrine gland,gland,organ,body part
subthalamic nucleus,nucleus,organelle,organ,body part
pudendum,genitalia,reproductive organ,organ,body part
female genitalia,genitalia,reproductive organ,organ,body part
male genitalia,genitalia,reproductive organ,organ,body part
corpus luteum,endocrine gland,gland,organ,body part
uterus,female internal reproductive organ,reproductive organ,organ,body part
decidua,epithelium,animal tissue,tissue,body part
mons,adipose tissue,animal tissue,tissue,body part
Cowper's gland,exocrine gland,gland,organ,body part
cervical glands,exocrine gland,gland,organ,body part
gonad,endocrine gland,gland,organ,body part
cock,penis,erectile organ,organ,body part
micropenis,penis,erectile organ,organ,body part
prepuce,skin,body covering,covering,natural object
seminal vesicle,exocrine gland,gland,organ,body part
book lung,respiratory organ,internal organ,organ,body part
pharyngeal tonsil,lymphatic tissue,animal tissue,tissue,body part
arytenoid,cartilage,animal tissue,tissue,body part
thyroid cartilage,cartilage,animal tissue,tissue,body part
digestive gland,exocrine gland,gland,organ,body part
salivary gland,exocrine gland,gland,organ,body part
small intestine,intestine,internal organ,organ,body part
large intestine,intestine,internal organ,organ,body part
bullethead,human head,head,external body part,body part
scalp,skin,body covering,covering,natural object
mammary gland,exocrine gland,gland,organ,body part
nabothian gland,exocrine gland,gland,organ,body part
vestibular gland,exocrine gland,gland,organ,body part
spare tire,adipose tissue,animal tissue,tissue,body part
leg,limb,extremity,external body part,body part
crus,limb,extremity,external body part,body part
thigh,limb,extremity,external body part,body part
arm,limb,extremity,external body part,body part
forearm,limb,extremity,external body part,body part
sphincter,muscle,contractile organ,organ,body part
knee,hinge joint,synovial joint,joint,body part
ankle,gliding joint,synovial joint,joint,body part
elbow,hinge joint,synovial joint,joint,body part
interphalangeal joint,hinge joint,synovial joint,joint,body part
cuticle,skin,body covering,covering,natural object
fascia,connective tissue,animal tissue,tissue,body part
autograft,graft,animal tissue,tissue,body part
homograft,graft,animal tissue,tissue,body part
heterograft,graft,animal tissue,tissue,body part
scar tissue,connective tissue,animal tissue,tissue,body part
hangnail,skin,body covering,covering,natural object
wrist,gliding joint,synovial joint,joint,body part
nose,chemoreceptor,sense organ,organ,body part
superego,conscience,ethical motive,motivation,psychological feature
paracosm,fantasy world,fantasy,imagination,creativity
incoordination,unskillfulness,inability,cognition,psychological feature
disfluency,unskillfulness,inability,cognition,psychological feature
denseness,stupidity,inability,cognition,psychological feature
dullness,stupidity,inability,cognition,psychological feature
vacuousness,stupidity,inability,cognition,psychological feature
talentlessness,inaptitude,inability,cognition,psychological feature
incapability,inaptitude,inability,cognition,psychological feature
awkwardness,unskillfulness,inability,cognition,psychological feature
inefficiency,unskillfulness,inability,cognition,psychological feature
amateurishness,unskillfulness,inability,cognition,psychological feature
fruitlessness,uncreativeness,inability,cognition,psychological feature
unoriginality,uncreativeness,inability,cognition,psychological feature
anterograde amnesia,amnesia,cognitive state,psychological state,condition
retrograde amnesia,amnesia,cognitive state,psychological state,condition
forgetfulness,amnesia,cognitive state,psychological state,condition
selective amnesia,amnesia,cognitive state,psychological state,condition
transient global amnesia,amnesia,cognitive state,psychological state,condition
self,consciousness,cognitive state,psychological state,condition
sense of direction,sense,awareness,knowing,higher cognitive process
sense of responsibility,sense,awareness,knowing,higher cognitive process
sensibility,consciousness,cognitive state,psychological state,condition
waking,consciousness,cognitive state,psychological state,condition
automatic pilot,unconsciousness,cognitive state,psychological state,condition
coma,unconsciousness,cognitive state,psychological state,condition
electrosleep,unconsciousness,cognitive state,psychological state,condition
semicoma,unconsciousness,cognitive state,psychological state,condition
insensibility,unconsciousness,cognitive state,psychological state,condition
hebetude,lethargy,torpor,physical condition,condition
semitrance,unconsciousness,cognitive state,psychological state,condition
narcosis,unconsciousness,cognitive state,psychological state,condition
desire to know,curiosity,cognitive state,psychological state,condition
interest,curiosity,cognitive state,psychological state,condition
curiousness,curiosity,cognitive state,psychological state,condition
mismatch,counterpart,equivalent,cognition,psychological feature
ersatz,substitute,equivalent,cognition,psychological feature
succedaneum,substitute,equivalent,cognition,psychological feature
assurance,certainty,cognitive state,psychological state,condition
certitude,certainty,cognitive state,psychological state,condition
reliance,certainty,cognitive state,psychological state,condition
mental reservation,doubt,cognitive state,psychological state,condition
incredulity,doubt,cognitive state,psychological state,condition
indecision,doubt,cognitive state,psychological state,condition
peradventure,doubt,cognitive state,psychological state,condition
attention span,span,duration,time period,fundamental quantity
heterophil test,agglutination test,blood test,biopsy,diagnostic test
Widal test,agglutination test,blood test,biopsy,diagnostic test
Wassermann test,complement fixation test,blood test,biopsy,diagnostic test
instrumental conditioning,operant conditioning,conditioning,learning,basic cognitive process
projection,prediction,reasoning,thinking,higher cognitive process
prophecy,prediction,reasoning,thinking,higher cognitive process
astrology,pseudoscience,fallacy,misconception,idea
analogy,inference,reasoning,thinking,higher cognitive process
Greek architecture,classical architecture,architectural style,art form,kind
Roman architecture,classical architecture,architectural style,art form,kind
Norman architecture,Romanesque,architectural style,art form,kind
homogeneous polynomial,polynomial,function,mathematical relation,relation
monic polynomial,polynomial,function,mathematical relation,relation
syndrome,complex,whole,concept,idea
ignoratio elenchi,logical fallacy,fallacy,misconception,idea
petitio principii,logical fallacy,fallacy,misconception,idea
post hoc,logical fallacy,fallacy,misconception,idea
activism,policy,plan of action,plan,idea
beggar-my-neighbor policy,policy,plan of action,plan,idea
counterterrorism,scheme,plan of action,plan,idea
game plan,scheme,plan of action,plan,idea
house of cards,scheme,plan of action,plan,idea
plot,scheme,plan of action,plan,idea
pyramid scheme,scheme,plan of action,plan,idea
waiting game,scheme,plan of action,plan,idea
aftertaste,afterimage,memory image,image,representation
quietism,mysticism,religion,theological virtue,cardinal virtue
Sufism,mysticism,religion,theological virtue,cardinal virtue
British empiricism,empiricism,philosophical doctrine,doctrine,belief
experimentalism,empiricism,philosophical doctrine,doctrine,belief
instrumentalism,pragmatism,philosophical doctrine,doctrine,belief
witchcraft,sorcery,magic,supernaturalism,belief
diabolism,sorcery,magic,supernaturalism,belief
centralism,policy,plan of action,plan,idea
containment,policy,plan of action,plan,idea
moderationism,policy,plan of action,plan,idea
obscurantism,policy,plan of action,plan,idea
Thatcherism,policy,plan of action,plan,idea
ultramontanism,policy,plan of action,plan,idea
positivism,empiricism,philosophical doctrine,doctrine,belief
pure mathematics,mathematics,science,discipline,knowledge domain
applied mathematics,mathematics,science,discipline,knowledge domain
arithmetic mean,mean,average,statistic,datum
geometric mean,mean,average,statistic,datum
harmonic mean,mean,average,statistic,datum
multiple regression,multivariate analysis,statistical method,method,know-how
regression analysis,multivariate analysis,statistical method,method,know-how
correlational analysis,multivariate analysis,statistical method,method,know-how
analysis of variance,multivariate analysis,statistical method,method,know-how
product-moment correlation coefficient,correlation coefficient,parametric statistic,statistic,datum
multiple correlation coefficient,correlation coefficient,parametric statistic,statistic,datum
biserial correlation coefficient,correlation coefficient,parametric statistic,statistic,datum
Kendall partial rank correlation,Kendall test,nonparametric statistic,statistic,datum
coefficient of concordance,Kendall test,nonparametric statistic,statistic,datum
tau coefficient of correlation,Kendall test,nonparametric statistic,statistic,datum
split-half correlation,correlation coefficient,parametric statistic,statistic,datum
tetrachoric correlation coefficient,correlation coefficient,parametric statistic,statistic,datum
life science,natural science,science,discipline,knowledge domain
chemistry,natural science,science,discipline,knowledge domain
physics,natural science,science,discipline,knowledge domain
neo-Darwinism,Darwinism,theory of evolution,scientific theory,theory
Neo-Lamarckism,Lamarckism,theory of evolution,scientific theory,theory
earth science,natural science,science,discipline,knowledge domain
cosmography,natural science,science,discipline,knowledge domain
powder metallurgy,metallurgy,science,discipline,knowledge domain
abnormal psychology,psychology,science,discipline,knowledge domain
applied psychology,psychology,science,discipline,knowledge domain
cognitive psychology,psychology,science,discipline,knowledge domain
comparative psychology,psychology,science,discipline,knowledge domain
developmental psychology,psychology,science,discipline,knowledge domain
differential psychology,psychology,science,discipline,knowledge domain
experimental psychology,psychology,science,discipline,knowledge domain
physiological psychology,psychology,science,discipline,knowledge domain
psychometry,psychology,science,discipline,knowledge domain
social psychology,psychology,science,discipline,knowledge domain
natural language processing,information science,science,discipline,knowledge domain
cybernetics,information science,science,discipline,knowledge domain
civics,social science,science,discipline,knowledge domain
anthropology,social science,science,discipline,knowledge domain
home economics,social science,science,discipline,knowledge domain
economics,social science,science,discipline,knowledge domain
proxemics,social science,science,discipline,knowledge domain
sociology,social science,science,discipline,knowledge domain
biosystematics,systematics,science,discipline,knowledge domain
iconology,art history,humanistic discipline,discipline,knowledge domain
quantification,restriction,rule,concept,idea
computational linguistics,linguistics,science,discipline,knowledge domain
dialect geography,linguistics,science,discipline,knowledge domain
historical linguistics,linguistics,science,discipline,knowledge domain
comparative literature,literary study,humanistic discipline,discipline,knowledge domain
poetics,literary study,humanistic discipline,discipline,knowledge domain
classics,literary study,humanistic discipline,discipline,knowledge domain
neurolinguistics,linguistics,science,discipline,knowledge domain
pragmatics,linguistics,science,discipline,knowledge domain
semantics,linguistics,science,discipline,knowledge domain
sociolinguistics,linguistics,science,discipline,knowledge domain
structuralism,linguistics,science,discipline,knowledge domain
synchronic linguistics,linguistics,science,discipline,knowledge domain
descriptive linguistics,linguistics,science,discipline,knowledge domain
prescriptive linguistics,linguistics,science,discipline,knowledge domain
fatalism,credence,attitude,cognition,psychological feature
devices,inclination,attitude,cognition,psychological feature
sympathy,inclination,attitude,cognition,psychological feature
favoritism,inclination,attitude,cognition,psychological feature
proclivity,inclination,attitude,cognition,psychological feature
bent,inclination,attitude,cognition,psychological feature
perseveration,inclination,attitude,cognition,psychological feature
impartiality,inclination,attitude,cognition,psychological feature
profaneness,irreverence,attitude,cognition,psychological feature
Mandaeanism,Gnosticism,theological doctrine,doctrine,belief
monotheism,theism,religion,theological virtue,cardinal virtue
polytheism,theism,religion,theological virtue,cardinal virtue
druidism,paganism,religion,theological virtue,cardinal virtue
pantheism,theism,religion,theological virtue,cardinal virtue
Adventism,Christianity,religion,theological virtue,cardinal virtue
Catholicism,Christianity,religion,theological virtue,cardinal virtue
Donatism,Christianity,religion,theological virtue,cardinal virtue
Protestantism,Christianity,religion,theological virtue,cardinal virtue
Tractarianism,Christianity,religion,theological virtue,cardinal virtue
Parsiism,Zoroastrianism,religion,theological virtue,cardinal virtue
obiism,sorcery,magic,supernaturalism,belief
stationery,writing paper,paper,material,substance
notepaper,writing paper,paper,material,substance
news photography,photojournalism,journalism,print media,medium
article of faith,dogma,religious doctrine,doctrine,belief
context,discourse,language unit,part,relation
anagram,word,language unit,part,relation
anaphor,word,language unit,part,relation
antonym,word,language unit,part,relation
back-formation,word,language unit,part,relation
content word,word,language unit,part,relation
deictic,word,language unit,part,relation
diminutive,word,language unit,part,relation
disyllable,word,language unit,part,relation
form,word,language unit,part,relation
four-letter word,word,language unit,part,relation
function word,word,language unit,part,relation
guide word,word,language unit,part,relation
heteronym,word,language unit,part,relation
holonym,word,language unit,part,relation
homonym,word,language unit,part,relation
hypernym,word,language unit,part,relation
hyponym,word,language unit,part,relation
loanblend,word,language unit,part,relation
loanword,word,language unit,part,relation
meronym,word,language unit,part,relation
metonym,word,language unit,part,relation
monosyllable,word,language unit,part,relation
neologism,word,language unit,part,relation
nonce word,word,language unit,part,relation
oxytone,word,language unit,part,relation
palindrome,word,language unit,part,relation
paroxytone,word,language unit,part,relation
partitive,word,language unit,part,relation
polysemant,word,language unit,part,relation
polysyllable,word,language unit,part,relation
proparoxytone,word,language unit,part,relation
quantifier,word,language unit,part,relation
retronym,word,language unit,part,relation
substantive,word,language unit,part,relation
synonym,word,language unit,part,relation
term,word,language unit,part,relation
terminology,word,language unit,part,relation
trisyllable,word,language unit,part,relation
troponym,word,language unit,part,relation
vocable,word,language unit,part,relation
ultima,syllable,language unit,part,relation
penult,syllable,language unit,part,relation
antepenult,syllable,language unit,part,relation
free morpheme,morpheme,language unit,part,relation
bound morpheme,morpheme,language unit,part,relation
ending,morpheme,language unit,part,relation
part of speech,grammatical category,class,collection,group
gender,grammatical category,class,collection,group
tense,grammatical category,class,collection,group
semantic role,grammatical category,class,collection,group
agnomen,name,language unit,part,relation
eponym,name,language unit,part,relation
filename,name,language unit,part,relation
patronymic,name,language unit,part,relation
matronymic,name,language unit,part,relation
surname,name,language unit,part,relation
middle name,name,language unit,part,relation
first name,name,language unit,part,relation
alias,name,language unit,part,relation
pseudonym,name,language unit,part,relation
misnomer,name,language unit,part,relation
writer's name,name,language unit,part,relation
appellation,name,language unit,part,relation
pet name,name,language unit,part,relation
place name,name,language unit,part,relation
web page,text file,computer file,file,record
chat room,web site,computer,machine,device
portal site,web site,computer,machine,device
written word,word,language unit,part,relation
signature,name,language unit,part,relation
dictionary,wordbook,reference book,book,publication
onomasticon,wordbook,reference book,book,publication
vocabulary,wordbook,reference book,book,publication
glossary,wordbook,reference book,book,publication
thesaurus,wordbook,reference book,book,publication
hornbook,primer,textbook,book,publication
manual,handbook,reference book,book,publication
guidebook,handbook,reference book,book,publication
phonebook,directory,reference book,book,publication
